htid,year,bib_fmt,stratum,title,description
mdp.39015072261145,1971,BK,book,Behavior modification in child treatment; an experimental and clinical approach / [by] Robert M. Browning and Donald O. Stover.,cop. 4
uc1.b4529023,1971,BK,book,Behavior modification in child treatment; an experimental and clinical approach / [by] Robert M. Browning and Donald O. Stover.,
mdp.39015019966160,1972,BK,book,Behind the glass / Translated by Derek Coltman.,
uva.x000176220,1977,BK,book,Ben Ritter's Guide to the microfilmed Frederick County-Winchester (Virginia) census of 1850 : population schedules of the seventh census of the United States : National Archives microfilm publications.,
uva.x001240484,1957,BK,book,"Ben Thompson, man with a gun. With an introd. by William F. Kelleher.",
wu.89059496869,1964,BK,book,"Bible in pocket, gun in hand; the story of frontier religion.",
mdp.39015027952566,1972,BK,book,"Bible in pocket, gun in hand; the story of frontier religion.",
inu.30000011359266,1952,BK,book,"Big Bend, a homesteader's story, by J.O. Langford with Fred Gipson.  Photos by Henry B. Du Pont and Joe W. Langford, drawings by Hal Story.",
uva.x000015417,1973,BK,book,"Big Bend; a homesteader's story, by J. O. Langford, with Fred Gipson. Photos. by Henry B. Du Pont and Joe W. Langford. Drawings by Hal Story.",
uva.x000175317,1980,BK,book,"Big gun monitors : the history of the design, construction, and operation of the Royal Navy's monitors / Ian Buxton.",
mdp.39015002613183,1980,BK,book,"Biography in the 18th century / J. D. Browning, editor in chief.",
uva.x000170865,1980,BK,book,"Biography in the 18th century / J. D. Browning, editor in chief.",
uc1.b4315350,1980,BK,book,"Biography in the 18th century / J. D. Browning, editor in chief.",
mdp.39015001915670,1969,BK,book,Biology and its relation to mankind / [by] A. M. Winchester. With photographic illus. by the author.,
mdp.39015071240124,1979,BK,book,"Bitter harvest : hunting in America. Book 1, The guns of Gaylord / by John G. Mitchell.",
wu.89058291402,1980,BK,book,"Blackfeet heritage, 1907-1908 : Blackfeet Indian Reservation, Browning, Montana / edited by Roxanne DeMarce.",
mdp.39015030939097,1974,BK,book,Blast-power & ballistics : concepts of force and energy in the ancient world / Jack Lindsay.,
uc1.$b808866,1969,BK,book,"Blind man with a pistol, by Chester Himes.",
mdp.39015020751197,1969,BK,book,"Blind man with a pistol, by Chester Himes.",
wu.89067603878,1956,BK,book,Block Island : lore and legends / by Ethel Colt Ritchie.,
mdp.39015009374706,1980,BK,book,Blood relations : the rise & fall of the du Ponts of Delaware / Leonard Mosley.,
pst.000027384688,1967,BK,book,Book of shotgun sports / by the editors of Sports illustrated. [Text by Virginia Kraft.,
coo.31924002874711,1939,BK,book,Boron nutrition of cauliflower in relation to browning.,
coo.31924001517386,1980,BK,book,"Brain and learning : directions in early childhood education / Marlin Languis, Tobie Sanders, Steven Tipps ; [photos, Betty C. Ford ... et al.].",
